ticker,signal,confidence,current_price,price_change_1d,price_change_7d,rsi,sma_20,sma_50,relative_volume,week_52_position_pct,trailing_pe,beta,recommendation_key,factors,analyzed_at
IMVT,HOLD,50,24.5,-2.39,-1.05,50.44,24.7195,25.7854,1.46,71.26,,0.673,buy,,2026-04-05T19:31:55.008752
TRNS,WEAK_BUY,65,76.2,2.27,4.43,56.42,72.8535,72.5622,0.7,55.43,89.64705,0.705,strong_buy,Uptrend,2026-04-05T19:31:59.714698
BFH,WEAK_BUY,65,73.02,-0.75,-2.78,54.19,73.1345,73.3394,0.91,79.44,6.6624084,1.135,buy,Low P/E (6.7),2026-04-05T19:32:04.464494
COMP,HOLD,50,7.07,-1.53,-10.73,35.83,7.992,9.9566,0.67,17.05,,2.63,buy,,2026-04-05T19:32:09.188786
IR,HOLD,50,77.91,-2.61,-6.86,39.02,82.3165,88.7984,0.83,34.79,53.731037,1.333,buy,,2026-04-05T19:32:13.951293
OSG,HOLD,50,4.62,0.65,-0.86,31.62,4.9405,5.4576,0.8,3.03,,0.881,none,,2026-04-05T19:32:18.714328
EDIT,WEAK_BUY,65,2.67,2.3,15.09,60.36,2.407,2.1422,0.64,48.52,,2.042,buy,Uptrend,2026-04-05T19:32:23.448545
PACB,HOLD,50,1.34,-0.74,-3.6,50.94,1.347,1.6794,0.92,26.06,,2.332,buy,,2026-04-05T19:32:28.153965
WLK,WEAK_BUY,65,119.4,2.42,4.54,64.63,111.62,101.3619,0.67,99.06,,0.748,buy,Uptrend,2026-04-05T19:32:32.923082
NIQ,HOLD,50,11.48,0.88,7.39,48.55,11.3055,12.469,0.81,13.8,,,buy,,2026-04-05T19:32:37.653918
OIS,HOLD,50,11.21,0.99,-6.51,41.5,12.0545,10.9936,0.55,71.19,,1.273,buy,,2026-04-05T19:32:42.375007
FUBO,BUY,95,9.77,6.2,-9.95,19.89,12.279,16.518,1.21,3.02,2.544271,2.379,buy,"RSI oversold (19.9), Low P/E (2.5)",2026-04-05T19:32:47.100349
WTFC,WEAK_BUY,65,139.6,-0.33,1.95,69.72,134.7705,144.4098,0.63,67.51,12.245615,0.855,buy,Low P/E (12.2),2026-04-05T19:32:51.937926
IVT,WEAK_BUY,65,30.73,0.99,1.51,45.89,30.7078,30.2993,0.65,74.39,21.640846,-6.502,buy,Uptrend,2026-04-05T19:32:56.696073
JBTM,HOLD,50,125.15,-2.81,-4.85,44.25,132.1285,148.9304,0.87,43.78,,1.074,buy,,2026-04-05T19:33:01.524265
BUR,BUY,95,4.14,-2.59,-46.72,18.5,7.043,8.3796,1.57,4.78,14.785714,1.235,strong_buy,"RSI oversold (18.5), Low P/E (14.8)",2026-04-05T19:35:06.366347
TAP,HOLD,50,44.04,2.66,6.71,52.28,43.1835,46.7834,0.97,14.2,,0.499,hold,,2026-04-05T19:35:11.218026
MSFT,HOLD,50,373.46,1.11,0.65,33.79,385.497,403.2382,0.66,13.61,23.370462,1.107,strong_buy,,2026-04-05T19:35:15.991968
ARE,HOLD,50,43.23,-0.14,-7.12,34.28,47.3967,51.1882,1.59,3.82,,1.343,hold,,2026-04-05T19:35:20.793298
CLW,SELL,80,14.86,1.71,4.43,70.98,13.8385,15.4292,0.57,13.07,,0.22,none,RSI overbought (71.0),2026-04-05T19:35:25.514921
FLWS,HOLD,50,3.22,2.88,4.55,47.66,3.1925,3.5622,0.5,5.95,,1.237,strong_buy,,2026-04-05T19:35:30.228263
LPX,HOLD,50,70.81,-2.6,-4.84,38.45,74.1725,82.4257,0.72,3.55,34.04327,1.773,buy,,2026-04-05T19:35:35.065720
VIR,HOLD,50,9.06,0.44,0.78,46.98,9.2003,8.4847,0.49,72.29,,1.656,none,,2026-04-05T19:35:39.781508
CL,HOLD,50,85.14,-0.32,-0.41,34.76,87.447,90.9494,0.78,42.74,32.372623,0.331,buy,,2026-04-05T19:35:44.674165
VIAV,WEAK_BUY,65,36.89,4.5,-1.02,63.63,32.5205,28.943,0.84,96.03,,0.861,strong_buy,Uptrend,2026-04-05T19:35:49.397442
AIR,HOLD,50,109.78,-1.43,-7.37,56.84,107.7075,110.4018,0.74,82.75,24.180616,1.206,strong_buy,,2026-04-05T19:35:54.218758
AESI,HOLD,50,12.15,-0.41,-10.4,37.9,13.0895,12.0032,1.34,61.9,,0.568,hold,,2026-04-05T19:35:58.949957
RCUS,WEAK_BUY,65,22.96,5.13,6.99,55.84,22.1085,21.456,1.25,82.71,,0.859,strong_buy,Uptrend,2026-04-05T19:36:03.666762
AS,HOLD,50,33.4,-1.36,-0.65,54.06,32.934,36.1362,0.58,58.49,43.947372,2.803,none,,2026-04-05T19:36:08.395339
INGN,HOLD,50,6.21,-0.96,-3.27,54.78,6.2405,6.0626,0.49,22.96,,1.705,none,,2026-04-05T19:36:13.109468
HWKN,WEAK_BUY,65,151.53,-3.0,-0.51,61.72,146.443,145.0819,1.09,59.0,38.362026,0.791,buy,Uptrend,2026-04-05T19:36:17.937288
DV,HOLD,50,9.94,1.64,0.91,42.86,10.078,10.0518,1.59,25.05,33.13333,0.993,none,,2026-04-05T19:36:22.659588
MAT,BUY,95,14.36,-1.37,-3.43,23.27,15.1985,17.2876,0.81,4.81,11.580645,0.782,buy,"RSI oversold (23.3), Low P/E (11.6)",2026-04-05T19:36:27.471696
AGX,WEAK_BUY,65,575.16,0.66,31.47,65.88,481.0785,432.4954,0.61,97.29,59.172836,0.459,buy,Uptrend,2026-04-05T19:36:32.233700
OCUL,HOLD,50,8.49,1.92,1.92,45.9,8.615,9.0365,0.7,25.28,,0.952,strong_buy,,2026-04-05T19:36:36.954223
PYPL,WEAK_BUY,65,45.34,1.59,1.09,51.89,45.0265,45.6482,0.53,16.76,8.380776,1.411,hold,Low P/E (8.4),2026-04-05T19:36:41.678957
WSM,HOLD,50,180.17,-0.11,-0.97,50.26,182.01,198.2196,0.84,52.7,20.35819,1.578,buy,,2026-04-05T19:36:46.458250
LOPE,WEAK_BUY,65,171.36,0.11,0.43,62.73,166.41,166.0298,0.65,29.85,22.225681,0.671,none,Uptrend,2026-04-05T19:36:51.172560
SPNT,HOLD,50,22.19,2.64,3.16,72.26,20.873,20.7172,1.09,91.39,6.0961537,0.649,none,"Uptrend, RSI overbought (72.3), Low P/E (6.1)",2026-04-05T19:36:55.894466
HTB,WEAK_BUY,65,43.04,0.05,2.43,58.79,42.203,42.8866,0.91,72.27,11.569893,0.859,buy,Low P/E (11.6),2026-04-05T19:37:00.624180
NAT,SELL,80,6.15,7.33,11.01,72.87,5.486,4.913,1.62,95.49,102.50001,-0.501,none,"Uptrend, RSI overbought (72.9)",2026-04-05T19:37:05.432334
EXP,WEAK_BUY,65,187.96,-1.57,0.68,51.78,186.3563,208.3082,0.94,22.29,14.207106,1.392,hold,Low P/E (14.2),2026-04-05T19:37:10.243909
ALH,HOLD,50,21.36,-0.47,6.16,63.22,20.248,21.757,1.37,30.77,38.142857,,none,,2026-04-05T19:37:14.961442
DSGR,SELL,80,26.62,-0.75,0.45,77.67,24.496,27.5456,0.72,51.42,147.88889,0.528,none,RSI overbought (77.7),2026-04-05T19:37:19.770752
RVLV,HOLD,50,22.25,0.23,-2.07,42.89,22.8655,24.9648,0.61,36.63,25.872093,1.803,none,,2026-04-05T19:37:24.518348
UWMC,HOLD,50,3.72,2.2,5.38,57.12,3.6343,4.3098,0.51,9.04,31.0,1.975,buy,,2026-04-05T19:37:29.282585
FBIZ,WEAK_BUY,65,55.19,1.19,3.55,69.08,53.0235,55.4431,2.08,69.93,9.291245,0.718,buy,Low P/E (9.3),2026-04-05T19:37:34.087818
FULT,WEAK_BUY,65,20.53,-0.24,3.1,67.57,19.7279,20.6177,0.77,71.59,9.870193,0.825,buy,Low P/E (9.9),2026-04-05T19:37:38.923504
FLYW,HOLD,50,11.78,1.73,-5.0,40.74,12.2965,12.136,0.57,50.78,107.090904,1.264,buy,,2026-04-05T19:37:43.646966
NXDT,HOLD,50,4.43,-0.89,0.91,49.27,4.463,4.5597,0.22,69.37,,0.829,none,,2026-04-05T19:37:48.427823
VNOM,WEAK_BUY,65,46.47,2.36,-2.09,61.3,46.052,44.1693,0.68,81.84,,0.297,strong_buy,Uptrend,2026-04-05T19:37:53.188827
HR,HOLD,50,17.4,1.4,0.99,39.79,17.684,17.5278,0.63,67.83,,0.803,hold,,2026-04-05T19:37:58.013342
NUTX,WEAK_BUY,65,100.92,2.52,0.54,64.29,94.2605,110.148,0.86,27.43,9.629771,2.025,none,Low P/E (9.6),2026-04-05T19:38:02.732655
FHN,SELL,80,23.18,0.87,1.98,73.38,22.341,23.6285,0.67,69.27,12.395722,0.629,buy,"RSI overbought (73.4), Low P/E (12.4)",2026-04-05T19:38:07.584078
CCL,WEAK_BUY,65,25.64,-3.54,-0.35,57.81,25.174,28.612,1.09,55.75,11.295154,2.482,buy,Low P/E (11.3),2026-04-05T19:38:12.426177
FTNT,WEAK_BUY,65,82.53,1.7,4.61,47.76,82.162,81.6516,0.61,31.65,34.103306,0.998,hold,Uptrend,2026-04-05T19:38:17.158993
PPTA,HOLD,50,29.43,-0.3,12.54,48.98,28.684,30.2735,0.87,72.16,,0.716,strong_buy,,2026-04-05T19:38:21.881708
SMA,HOLD,50,30.89,1.51,1.48,45.31,31.1148,31.8399,0.6,14.24,,,buy,,2026-04-05T19:38:26.615432
ZUMZ,HOLD,50,21.61,-2.0,-3.22,51.81,21.9885,23.9168,0.53,50.51,27.70513,0.949,none,,2026-04-05T19:38:31.321791
ELF,HOLD,50,61.16,-1.83,-12.19,30.25,70.5495,79.4986,1.35,11.58,34.553673,2.389,buy,,2026-04-05T19:38:36.043865
DEA,HOLD,50,21.68,2.51,-0.18,45.26,21.9355,22.6425,0.89,38.55,80.296295,0.957,hold,,2026-04-05T19:38:40.828868
EFX,HOLD,50,182.39,1.52,5.7,47.81,183.475,192.7372,0.62,14.23,34.219513,1.559,buy,,2026-04-05T19:38:45.648257
VMD,WEAK_BUY,65,9.63,0.42,2.99,56.91,9.2815,8.6382,0.83,89.59,26.027027,1.158,none,Uptrend,2026-04-05T19:38:50.365136
ATKR,HOLD,50,61.51,2.11,1.02,69.32,58.759,63.7562,0.98,38.45,,1.538,buy,,2026-04-05T19:38:55.088198
SEAT,HOLD,50,6.49,1.88,22.45,59.25,6.055,6.417,0.93,2.59,,0.969,none,,2026-04-05T19:38:59.807016
KRYS,HOLD,50,260.95,0.79,2.35,60.43,253.401,265.3965,0.67,78.72,38.206444,0.538,strong_buy,,2026-04-05T19:41:04.653861
CYRX,HOLD,50,8.77,3.06,4.28,65.27,8.1305,8.6176,0.61,60.7,,1.686,strong_buy,,2026-04-05T19:41:09.385977
COP,SELL,80,130.52,1.67,1.23,70.12,125.226,114.6753,0.74,90.44,20.522013,0.192,buy,"Uptrend, RSI overbought (70.1)",2026-04-05T19:41:14.251702
LEN,WEAK_BUY,65,86.49,1.23,-6.18,32.68,92.947,105.4291,0.96,5.65,12.444604,1.487,hold,Low P/E (12.4),2026-04-05T19:41:19.060124
RMAX,WEAK_BUY,65,5.72,1.06,-5.45,49.54,5.9255,6.6342,0.8,5.35,14.299999,1.272,none,Low P/E (14.3),2026-04-05T19:41:23.802385
PK,HOLD,50,10.4,0.19,0.49,62.1,10.3097,10.7378,0.97,51.7,,1.385,hold,,2026-04-05T19:41:28.547575
TGT,BUY,80,120.45,0.0,3.51,60.44,117.7535,114.3692,0.83,86.96,14.815497,1.032,none,"Uptrend, Low P/E (14.8)",2026-04-05T19:41:33.390379
NX,HOLD,50,17.46,-3.7,-2.78,55.87,17.3495,19.1727,0.7,53.77,,0.94,none,,2026-04-05T19:41:38.254486
TTEC,HOLD,50,2.56,-0.39,0.0,39.0,2.7005,2.7064,1.14,16.02,,0.954,none,,2026-04-05T19:41:43.028143
DRS,WEAK_BUY,65,46.3,0.96,-0.04,53.71,45.5126,42.8538,0.74,85.76,44.951458,0.256,strong_buy,Uptrend,2026-04-05T19:41:47.759223
USNA,HOLD,50,16.9,-1.86,-1.69,44.74,17.343,19.5632,0.96,1.38,29.137932,0.704,strong_buy,,2026-04-05T19:41:52.487731
MCW,HOLD,50,6.97,0.0,-0.29,54.55,6.978,6.5732,1.77,70.03,22.48387,1.372,none,,2026-04-05T19:41:57.207844
HUT,HOLD,50,48.11,1.58,-13.5,49.71,49.3903,52.7158,0.75,67.91,,5.712,strong_buy,,2026-04-05T19:42:02.014700
MGEE,HOLD,50,78.81,1.42,3.41,64.64,76.061,78.4473,1.0,30.42,21.185484,0.789,hold,,2026-04-05T19:42:06.869369
KGS,WEAK_BUY,65,57.94,0.07,-2.0,65.98,56.921,51.7984,0.52,93.09,65.10112,0.876,none,Uptrend,2026-04-05T19:42:11.613367
JELD,BUY,80,1.1,-5.98,-11.29,27.59,1.347,2.006,1.51,0.51,,1.92,none,RSI oversold (27.6),2026-04-05T19:42:16.345288
PD,WEAK_BUY,65,6.4,1.27,1.11,32.99,6.857,7.6912,0.57,4.01,3.4224598,0.781,none,Low P/E (3.4),2026-04-05T19:42:21.083476
JBIO,HOLD,50,15.49,-3.31,11.04,61.91,14.105,14.6284,1.09,9.54,,,strong_buy,,2026-04-05T19:42:25.812827
HUBB,HOLD,50,494.25,-1.23,-1.78,59.4,482.9405,495.2002,0.56,83.03,29.846016,0.997,buy,,2026-04-05T19:42:30.667143
KTOS,HOLD,50,67.31,-0.58,-15.84,30.26,82.469,91.007,0.99,38.38,517.7692,1.219,buy,,2026-04-05T19:42:35.394885
CRSP,HOLD,50,49.51,1.43,5.14,52.31,48.9475,51.9384,0.89,40.19,,1.794,buy,,2026-04-05T19:42:40.122404
GILD,HOLD,50,139.71,-0.42,1.05,36.75,141.0488,143.9598,0.68,72.5,20.606195,0.404,buy,,2026-04-05T19:42:44.877031
BKE,WEAK_BUY,65,50.14,-1.36,-1.3,49.27,50.0465,51.04,0.59,59.57,12.111112,1.089,none,Low P/E (12.1),2026-04-05T19:42:49.700004
RH,HOLD,50,113.46,0.54,-17.15,39.53,132.436,170.7188,2.08,4.75,17.980982,2.105,hold,,2026-04-05T19:42:54.422856
VTOL,SELL,80,47.24,1.07,3.01,74.36,45.0244,45.0589,0.69,90.55,10.935185,1.355,none,"RSI overbought (74.4), Low P/E (10.9)",2026-04-05T19:42:59.150386
RIVN,HOLD,50,15.4,3.08,-1.41,53.87,15.4825,15.3184,0.69,40.34,,1.691,hold,,2026-04-05T19:43:03.902940
RUM,HOLD,50,4.98,-0.6,-2.54,39.13,5.171,5.5546,0.78,5.65,,0.715,none,,2026-04-05T19:43:08.623310
CNM,HOLD,50,50.95,-0.2,0.75,63.34,48.9625,53.127,0.97,32.39,22.056278,1.003,buy,,2026-04-05T19:43:13.344681
VNT,WEAK_BUY,65,35.37,-1.64,-3.73,46.23,36.3015,38.4761,0.69,38.85,12.815217,1.324,buy,Low P/E (12.8),2026-04-05T19:43:18.083766
ONEW,SELL,80,9.86,1.34,5.45,73.91,9.201,11.2859,0.54,17.76,,1.686,buy,RSI overbought (73.9),2026-04-05T19:43:22.820880
INOD,HOLD,50,38.47,-3.0,-11.91,41.29,42.4505,46.415,0.55,17.88,41.815216,2.505,none,,2026-04-05T19:43:27.547246
THRY,HOLD,50,2.8,1.45,7.28,45.78,2.8225,3.4739,0.32,6.55,280.0,0.769,hold,,2026-04-05T19:43:32.278296
WK,HOLD,50,60.0,0.49,2.35,42.01,60.899,65.0158,0.88,9.59,,0.679,strong_buy,,2026-04-05T19:43:37.009010
UNF,HOLD,50,256.19,0.63,-2.3,30.63,262.289,238.7506,0.63,79.74,34.714092,0.664,hold,,2026-04-05T19:43:41.837627
HOV,HOLD,50,110.84,-0.58,-1.34,57.26,108.724,116.8246,0.66,36.7,17.131376,2.076,none,,2026-04-05T19:43:46.557037
ADT,WEAK_BUY,65,6.62,1.07,0.15,59.46,6.538,7.255,0.88,13.78,9.735293,1.05,none,Low P/E (9.7),2026-04-05T19:43:51.316074
SEM,HOLD,50,16.35,0.37,0.37,81.25,16.268,15.7603,0.52,67.53,14.094829,0.883,none,"Uptrend, RSI overbought (81.2), Low P/E (14.1)",2026-04-05T19:43:56.069668
KDP,BUY,80,25.31,-1.48,-3.17,23.22,26.712,27.804,0.99,2.57,16.542484,0.361,buy,RSI oversold (23.2),2026-04-05T19:44:00.834053
INTU,HOLD,50,422.48,-0.8,-1.03,42.71,443.4295,442.452,0.65,15.81,27.46944,1.213,buy,,2026-04-05T19:44:05.589065
MBI,HOLD,50,5.94,2.41,2.59,49.28,5.924,6.1974,0.54,47.27,,1.478,none,,2026-04-05T19:44:10.367442
TRMK,WEAK_BUY,65,42.59,0.26,1.21,67.47,41.64,42.5307,0.81,81.86,11.510811,0.639,buy,Low P/E (11.5),2026-04-05T19:44:15.185688
TE,BUY,80,4.19,-6.47,-37.28,17.82,6.668,7.1254,0.89,36.91,,1.822,strong_buy,RSI oversold (17.8),2026-04-05T19:44:19.915713
XMTR,HOLD,50,42.35,1.35,1.73,67.62,40.223,49.8733,0.77,42.98,,0.881,buy,,2026-04-05T19:44:24.636747
YUM,HOLD,50,156.09,1.55,-1.93,41.4,157.9415,158.9016,0.54,58.52,28.07374,0.662,buy,,2026-04-05T19:44:29.414775
HMN,WEAK_BUY,65,43.21,1.05,1.31,61.75,42.3338,42.7414,0.81,46.5,11.079487,0.053,buy,Low P/E (11.1),2026-04-05T19:44:34.236681
LRCX,HOLD,50,218.44,-1.61,-6.43,52.94,219.0935,226.5533,0.57,80.91,44.85421,1.79,buy,,2026-04-05T19:44:39.023975
EXR,HOLD,50,133.86,1.03,2.98,36.36,135.5037,139.7197,0.63,37.56,29.163399,1.274,buy,,2026-04-05T19:44:43.805042
KW,SELL,80,10.87,0.37,0.64,71.37,10.7759,10.4197,0.71,97.6,,0.952,none,"Uptrend, RSI overbought (71.4)",2026-04-05T19:44:48.577629
TGTX,HOLD,50,33.53,-0.15,5.37,76.3,30.4745,29.9632,0.72,38.92,12.104692,1.755,buy,"Uptrend, RSI overbought (76.3), Low P/E (12.1)",2026-04-05T19:44:53.319153
STGW,WEAK_BUY,65,6.28,0.96,1.95,53.68,6.085,5.6226,0.66,71.66,78.50001,1.338,none,Uptrend,2026-04-05T19:44:58.048442
ECL,HOLD,50,264.28,-1.95,-1.59,40.84,268.6319,283.6625,0.7,48.67,36.35213,1.024,buy,,2026-04-05T19:47:02.961395
RICK,HOLD,50,21.79,-4.18,-9.36,52.44,22.4413,23.0639,0.96,3.93,17.715448,0.775,none,,2026-04-05T19:47:07.709491
OSW,SELL,80,23.48,0.0,1.21,72.36,21.7736,21.398,0.6,97.68,34.028984,0.954,strong_buy,"Uptrend, RSI overbought (72.4)",2026-04-05T19:47:12.441020
UNFI,WEAK_BUY,65,44.84,0.04,2.94,62.74,41.502,39.7022,0.74,89.74,,0.833,buy,Uptrend,2026-04-05T19:47:17.198932
VERX,HOLD,50,12.03,-0.5,3.17,31.49,12.92,14.4108,0.39,2.5,300.75,0.791,none,,2026-04-05T19:47:21.915545
AXP,HOLD,50,300.18,-0.11,0.3,51.51,299.0057,324.4251,0.57,47.74,19.530252,1.133,buy,,2026-04-05T19:47:26.777798
QGEN,HOLD,50,41.03,1.61,0.98,52.67,40.8375,46.73,0.52,12.73,20.112745,0.789,buy,,2026-04-05T19:47:31.552961
LRN,BUY,80,89.64,0.88,1.17,61.58,86.3385,84.5926,0.38,26.26,13.769585,0.049,none,"Uptrend, Low P/E (13.8)",2026-04-05T19:47:36.283023
LKFN,WEAK_BUY,65,58.12,0.17,2.32,58.83,56.7025,58.7878,0.62,41.86,14.493765,0.716,hold,Low P/E (14.5),2026-04-05T19:47:41.077817
JBL,WEAK_BUY,65,268.55,-1.25,-5.19,57.05,260.083,256.5991,0.67,91.16,36.241566,1.159,none,Uptrend,2026-04-05T19:47:45.860840
GPRE,WEAK_BUY,65,16.96,4.5,4.76,58.2,16.0665,14.4382,1.33,93.38,,1.314,buy,Uptrend,2026-04-05T19:47:50.607478
EGP,HOLD,50,188.41,0.56,3.49,55.44,185.4986,186.0704,0.57,84.17,38.76749,1.106,buy,,2026-04-05T19:47:55.421549
PDM,HOLD,50,6.56,1.39,-0.15,47.68,6.702,7.5558,1.04,29.49,,1.272,none,,2026-04-05T19:48:00.177465
BRO,HOLD,50,65.95,2.41,2.58,41.51,67.126,69.8594,0.7,4.55,20.87025,0.826,hold,,2026-04-05T19:48:04.996271
SEG,WEAK_BUY,65,22.02,2.61,5.51,57.94,21.338,21.0484,0.29,43.27,,,none,Uptrend,2026-04-05T19:48:09.713499
RHLD,SELL,80,154.4,-5.09,-6.04,71.54,152.719,175.0162,0.85,61.41,,,none,RSI overbought (71.5),2026-04-05T19:48:14.461411
TPH,SELL,80,46.75,0.43,0.06,74.73,46.537,42.6838,0.76,99.95,17.1875,1.297,none,"Uptrend, RSI overbought (74.7)",2026-04-05T19:48:19.188046
EGHT,BUY,80,1.74,0.0,1.75,24.64,1.937,2.0894,0.34,16.67,,1.811,none,RSI oversold (24.6),2026-04-05T19:48:23.903678
HCC,WEAK_BUY,65,94.89,3.25,-2.0,63.66,88.88,88.3917,0.5,84.48,87.86111,0.687,buy,Uptrend,2026-04-05T19:48:28.652401
IONS,HOLD,50,74.79,-0.45,2.87,63.06,72.956,78.5818,0.76,80.97,,0.4,buy,,2026-04-05T19:48:33.379005
NBTB,WEAK_BUY,65,43.15,0.35,1.6,65.79,41.7525,43.2644,0.54,60.77,12.957959,0.471,buy,Low P/E (13.0),2026-04-05T19:48:38.215992
USB,SELL,80,52.95,0.38,3.1,71.76,51.2695,54.3979,0.63,68.32,11.46104,1.034,buy,"RSI overbought (71.8), Low P/E (11.5)",2026-04-05T19:48:43.074662
VYX,HOLD,50,6.15,-1.28,-3.0,41.94,6.6475,8.2688,0.87,1.5,43.928574,1.603,none,,2026-04-05T19:48:47.795212
ZBRA,HOLD,50,202.84,-2.14,-2.69,50.14,207.203,228.7434,0.66,2.47,24.826805,1.655,buy,,2026-04-05T19:48:52.512463
UNH,HOLD,50,277.26,1.2,2.48,45.82,276.6325,284.4439,0.66,11.48,20.956917,0.408,buy,,2026-04-05T19:48:57.378174
BAC,WEAK_BUY,65,49.38,0.22,1.29,68.68,47.853,50.556,0.65,66.63,12.96063,1.237,strong_buy,Low P/E (13.0),2026-04-05T19:49:02.202250
NPK,WEAK_BUY,65,141.65,-0.17,3.6,61.52,136.406,131.1911,0.59,88.63,30.59395,0.485,none,Uptrend,2026-04-05T19:49:07.009410
RBBN,WEAK_BUY,65,2.18,-0.46,-0.91,56.06,2.172,2.2792,0.62,15.26,9.909091,1.07,none,Low P/E (9.9),2026-04-05T19:49:11.763177
TNET,WEAK_BUY,65,37.8,5.15,3.01,58.01,37.0106,43.4099,1.14,7.63,11.8125,0.866,hold,Low P/E (11.8),2026-04-05T19:49:16.546123
KALV,WEAK_BUY,65,19.9,0.66,16.1,65.42,17.6735,16.3932,0.85,88.36,,-0.399,strong_buy,Uptrend,2026-04-05T19:49:21.259475
WYNN,HOLD,50,102.03,-0.56,0.14,53.22,100.9355,107.0278,0.81,52.94,32.49363,1.034,strong_buy,,2026-04-05T19:49:26.018520
CRCT,WEAK_BUY,65,4.0,2.56,-1.23,45.98,4.013,4.2894,0.87,7.37,11.428572,0.148,none,Low P/E (11.4),2026-04-05T19:49:30.746813
EMBC,WEAK_BUY,65,8.85,0.68,-1.67,51.83,8.9195,9.758,1.29,5.37,3.7500002,1.101,none,Low P/E (3.8),2026-04-05T19:49:35.478594
ASAN,BUY,80,6.37,0.63,5.29,29.49,6.718,7.8176,0.65,3.81,,1.082,hold,RSI oversold (29.5),2026-04-05T19:49:40.202423
DDD,BUY,95,1.85,-1.07,-12.32,20.0,2.1395,2.1636,0.57,21.37,9.736842,2.399,buy,"RSI oversold (20.0), Low P/E (9.7)",2026-04-05T19:49:44.919815
SLAB,SELL,80,209.13,0.68,0.99,77.99,205.4555,194.131,0.48,99.65,,1.45,none,"Uptrend, RSI overbought (78.0)",2026-04-05T19:49:49.631598
SMPL,HOLD,50,14.16,-0.28,-1.6,46.73,14.5998,16.2911,1.18,2.2,15.733334,0.325,buy,,2026-04-05T19:49:54.356319
PAGS,WEAK_BUY,65,10.34,-1.8,1.08,64.92,9.8555,10.5136,0.76,60.08,7.5474453,1.414,buy,Low P/E (7.5),2026-04-05T19:49:59.087305
AZO,HOLD,50,3400.54,-0.76,0.43,36.97,3459.4855,3622.1522,0.48,16.12,23.809969,0.406,buy,,2026-04-05T19:50:03.829496
DNLI,HOLD,50,20.65,4.93,-8.1,50.36,20.3302,20.5245,0.9,76.36,,1.096,strong_buy,,2026-04-05T19:50:08.546031
MYGN,HOLD,50,4.75,3.49,1.5,52.57,4.702,4.9248,0.68,20.33,,1.637,hold,,2026-04-05T19:50:13.270121
WLDN,HOLD,50,80.34,1.7,-2.97,51.74,79.6005,100.588,0.58,43.66,23.020056,1.122,none,,2026-04-05T19:50:17.998368
TPR,HOLD,50,141.2,-2.18,-3.41,48.71,142.7735,144.083,0.52,79.95,54.728683,1.61,buy,,2026-04-05T19:50:22.780492
C,HOLD,50,115.25,-0.04,0.67,69.32,109.8225,112.7296,0.64,85.77,16.464285,1.085,buy,,2026-04-05T19:50:27.623375
EYPT,HOLD,50,13.4,2.92,2.68,51.81,13.6105,14.5272,0.85,62.43,,1.907,strong_buy,,2026-04-05T19:50:32.358991
U,HOLD,50,22.75,3.6,27.81,67.01,19.8065,23.2448,0.93,20.15,,1.998,buy,,2026-04-05T19:50:37.081721
GBX,WEAK_BUY,65,52.74,0.3,0.48,56.92,52.3025,53.7449,1.32,69.89,9.140382,1.61,hold,Low P/E (9.1),2026-04-05T19:50:41.880445
SERV,HOLD,50,8.45,0.48,-9.33,43.26,9.1632,9.9125,0.41,27.11,,3.862,strong_buy,,2026-04-05T19:50:46.608192
DBRG,HOLD,50,15.44,-0.06,0.39,62.5,15.3785,15.3932,0.5,98.8,32.166668,1.616,hold,,2026-04-05T19:50:51.364286
HWC,WEAK_BUY,65,64.29,0.28,0.78,65.14,62.6025,66.4503,0.58,64.67,11.338624,1.032,buy,Low P/E (11.3),2026-04-05T19:50:56.174492
MTD,HOLD,50,1259.9399,-1.11,-0.46,69.34,1228.3525,1315.8744,0.56,54.15,29.941538,1.435,buy,,2026-04-05T19:53:01.058171
AL,HOLD,50,64.95,0.0,0.32,75.9,64.7095,64.5681,1.92,99.96,6.9913883,1.084,none,"Uptrend, RSI overbought (75.9), Low P/E (7.0)",2026-04-05T19:53:05.865560
WFC,SELL,80,80.6,0.04,0.42,74.07,77.894,83.8801,0.57,56.38,12.875399,1.056,buy,"RSI overbought (74.1), Low P/E (12.9)",2026-04-05T19:53:10.762961
EL,BUY,80,69.12,-2.25,-5.46,22.25,80.949,98.0561,1.73,28.32,,1.252,buy,RSI oversold (22.2),2026-04-05T19:53:15.592546
PPL,WEAK_BUY,65,38.64,0.7,3.98,51.44,37.8654,37.1631,0.44,93.17,24.301886,0.68,buy,Uptrend,2026-04-05T19:53:20.418272
IBOC,WEAK_BUY,65,67.77,-0.15,0.09,52.74,67.2335,69.0492,1.3,62.1,10.23716,0.706,none,Low P/E (10.2),2026-04-05T19:53:25.210721
GLNG,SELL,80,55.29,3.06,4.14,84.29,50.012,45.7329,0.98,96.53,92.15,0.1,strong_buy,"Uptrend, RSI overbought (84.3)",2026-04-05T19:53:29.985581
PFE,WEAK_BUY,65,28.32,-0.81,3.81,68.13,27.293,26.9936,0.67,94.51,20.823528,0.388,buy,Uptrend,2026-04-05T19:53:34.857043
BDN,HOLD,50,2.57,-0.0,-0.75,35.29,2.73,2.8848,0.49,4.63,,1.248,underperform,,2026-04-05T19:53:39.670710
